nba career points over time	Wilt Chamberlain	Lebron James	Lew Alcindor        	Elgin Baylor	Jerry West	Michael Jordan	Steph Curry	Larry Bird	Karl Malone	Kobe Bryant	Carmelo Anthony	Dirk Nowitski	Oscar Robertson
9/1/1960	2707	0	0	3745	0	0	0	0	0	0	0	0	2165
9/1/1961	5741	0	0	6285	1390	0	0	0	0	0	0	0	4597
9/1/1962	9772	0	0	8123	3700	0	0	0	0	0	0	0	6861
9/1/1963	13356	0	0	10843	5196	0	0	0	0	0	0	0	9341
9/1/1964	16940	0	0	12826	7260	0	0	0	0	0	0	0	11620
9/1/1965	19473	0	0	14835	9552	0	0	0	0	0	0	0	13998
9/1/1966	22120	0	0	15914	11998	0	0	0	0	0	0	0	16410
9/1/1967	24078	0	0	17786	13890	0	0	0	0	0	0	0	18306
9/1/1968	26065	0	0	19788	15233	0	0	0	0	0	0	0	20261
9/1/1969	27666	0	0	21669	16813	0	0	0	0	0	0	0	21830
9/1/1970	27984	0	2361	22967	19121	0	0	0	0	0	0	0	22944
9/1/71	29591	0	4960	22987	20980	0	0	0	0	0	0	0	24074
9/1/1972	30805	0	7782	23093	22965	0	0	0	0	0	0	0	25000
9/1/1973	31887	0	10076	23093	24540	0	0	0	0	0	0	0	25000
9/1/1974	31887	0	12267	23093	25192	0	0	0	0	0	0	0	25000
9/1/1975	31887	0	14216	23093	25192	0	0	0	0	0	0	0	25000
9/1/1976	31887	0	16491	23093	25192	0	0	0	0	0	0	0	25000
9/1/1977	31887	0	18643	23093	25192	0	0	0	0	0	0	0	25000
9/1/1978	31887	0	20243	23093	25192	0	0	0	0	0	0	0	25000
9/1/1979	31887	0	22146	23093	25192	0	0	0	0	0	0	0	25000
9/1/1980	31887	0	24180	23093	25192	0	0	1745	0	0	0	0	25000
9/1/1981	31887	0	26275	23093	25192	0	0	3446	0	0	0	0	25000
9/1/1982	31887	0	28593	23093	25192	0	0	5207	0	0	0	0	25000
9/1/1983	31887	0	30315	23093	25192	0	0	7064	0	0	0	0	25000
9/1/1984	31887	0	32032	23093	25192	0	0	8972	0	0	0	0	25000
9/1/1985	31887	0	33767	23093	25192	2313	0	11967	0	0	0	0	25000
9/1/1986	31887	0	35613	23093	25192	2721	0	14082	1203	0	0	0	25000
9/1/1987	31887	0	36969	23093	25192	5762	0	16158	2982	0	0	0	25000
9/1/1988	31887	0	38134	23093	25192	8630	0	18433	5250	0	0	0	25000
9/1/1989	31887	0	38387	23093	25192	11263	0	18549	7576	0	0	0	25000
9/1/1990	31887	0	38387	23093	25192	14103	0	20369	10116	0	0	0	25000
9/1/1991	31887	0	38387	23093	25192	16683	0	21533	12498	0	0	0	25000
9/1/1992	31887	0	38387	23093	25192	19087	0	21791	14770	0	0	0	25000
9/1/1993	31887	0	38387	23093	25192	21628	0	21791	16987	0	0	0	25000
9/1/1994	31887	0	38387	23093	25192	21628	0	21791	19040	0	0	0	25000
9/1/1995	31887	0	38387	23093	25192	22085	0	21791	21227	0	0	0	25000
9/1/1996	31887	0	38387	23093	25192	24576	0	21791	23333	0	0	0	25000
9/1/1997	31887	0	38387	23093	25192	27007	0	21791	25582	539	0	0	25000
9/1/1998	31887	0	38387	23093	25192	29364	0	21791	27770	1759	0	0	25000
9/1/1999	31887	0	38387	23093	25192	29634	0	21791	28934	2775	0	385	25000
9/1/2000	31887	0	38387	23093	25192	29634	0	21791	31029	4240	0	1820	25000
9/1/2001	31887	0	38387	23093	25192	29634	0	21791	32907	6178	0	3604	25000
9/1/2002	31887	0	38387	23093	25192	31009	0	21791	34695	8197	0	5383	25000
9/1/2003	31887	0	38387	23093	25192	32292	0	21791	36362	10658	0	7394	25000
9/1/2004	31887	1654	38387	23093	25192	32292	0	21791	36916	12215	1725	9074	25000
9/1/2005	31887	3829	38387	23093	25192	32292	0	21791	36916	14034	3283	11106	25000
9/1/2006	31887	6307	38387	23093	25192	32292	0	21791	36916	16866	5405	13257	25000
9/1/2007	31887	8439	38387	23093	25192	32292	0	21791	36916	19296	7286	15173	25000
9/1/2008	31887	10689	38387	23093	25192	32292	0	21791	36916	21619	9264	16990	25000
9/1/2009	31887	12993	38387	23093	25192	32292	0	21791	36916	23820	10768	19084	25000
9/1/2010	31887	15251	38387	23093	25192	32292	1399	21791	36916	25790	12711	21111	25000
9/1/2011	31887	17362	38387	23093	25192	32292	2772	21791	36916	27868	14681	22792	25000
9/1/2012	31887	19045	38387	23093	25192	32292	3155	21791	36916	29484	15926	24134	25000
9/1/2013	31887	21081	38387	23093	25192	32292	4941	21791	36916	31677	17846	25051	25000
9/1/2014	31887	23170	38387	23093	25192	32292	6814	21791	36916	31700	19958	26786	25000
9/1/2015	31887	24913	38387	23093	25192	32292	8714	21791	36916	32482	20924	28119	25000
9/1/2016	31887	26833	38387	23093	25192	32292	11089	21791	36916	33643	22497	29491	25000
9/1/2017	31887	28787	38387	23093	25192	32292	13088	21791	36916	33643	24156	30260	25000
9/1/2018	31887	31038	38387	23093	25192	32292	14434	21791	36916	33643	25417	31187	25000
9/1/2019	31887	32543	38387	23093	25192	32292	16315	21791	36916	33643	25551	31560	25000
4/1/2020	31887	34087	38387	23093	25192	32292	16419	21791	36916	33643	26446	31560	25000
9/1/2020	31887	34241	38387	23093	25192	32292	16419	21791	36916	33643	26446	31560	25000
9/1/2021	31887	35367	38387	23093	25192	32292	18434	21791	36916	33643	27370	31560	25000
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
